STOP_ID,Latitude,STOP_NAME,Longitude,TICKETZONE,ROUTEUSSP,Area of Interest
18105,-37.815537,8-Spring St/Flinders St (Melbourne City),144.974174,1,"75,35",Tram Stop
19693,-37.805135,4-Queensberry St/Swanston St (Carlton),144.963112,1,"16,3/3a,5,6,64,67,72,1",Tram Stop
19726,-37.808551,13-Lansdowne St/Victoria Pde (East Melbourne),144.978806,1,"12,109",Tram Stop
19728,-37.808925,15-Smith St/Victoria Pde (East Melbourne),144.982215,1,"12,109",Tram Stop
19729,-37.809292,16-Wellington St/Victoria Pde (East Melbourne),144.985738,1,"12,109",Tram Stop
20979,-37.811664,0-Bourke St/Spring St (Melbourne City),144.973246,1,35,Tram Stop
22100,-37.808919,15-Smith St/Victoria Pde (Fitzroy),144.982908,1,"12,109",Tram Stop
22152,-37.814215,7-Exhibition St/Collins St (Melbourne City),144.970712,1,"11,12,48,109",Tram Stop
19340,-37.797027,112-Lygon St/Elgin St (Carlton),144.966355,1,"6,1",Tram Stop
19374,-37.808435,13-Lansdowne St/Victoria Pde (Fitzroy),144.978344,1,"12,109",Tram Stop
19377,-37.809271,16-Wellington St/Victoria Pde (Collingwood),144.986136,1,"12,109",Tram Stop
19489,-37.799305,1-Melbourne University/Swanston St (Carlton),144.964192,1,"16,3/3a,5,6,64,67,72,1",Tram Stop
19491,-37.80237,3-Lincoln Square/Swanston St (Carlton),144.963687,1,"16,3/3a,5,6,64,67,72,1",Tram Stop
19689,-37.809889,8-Melbourne Central Station/Swanston St (Melbourne City),144.96389,1,"16,3/3a,5,6,64,67,72,1",Tram Stop
6050,-37.794158,21-Alexandra Pde/Smith St (Fitzroy),144.985025,1,86,Tram Stop
6051,-37.796781,20-Rose St/Smith St (Collingwood),144.984567,1,86,Tram Stop
6052,-37.799081,19-Johnston St/Smith St (Fitzroy),144.984164,1,86,Tram Stop
6053,-37.801579,18-Hodgson St/Smith St (Fitzroy),144.983744,1,86,Tram Stop
6054,-37.80361,17-Charles St/Smith St (Fitzroy),144.983382,1,86,Tram Stop
6056,-37.806256,15-Smith St/Gertrude St (Fitzroy),144.982663,1,86,Tram Stop
6057,-37.80591,14-Napier St/Gertrude St (Fitzroy),144.979287,1,86,Tram Stop
6058,-37.805655,13-Brunswick St/Gertrude St (Fitzroy),144.977057,1,86,Tram Stop
6059,-37.801894,12-Moor St/Nicholson St (Fitzroy),144.97424,1,96,Tram Stop
6061,-37.798407,13-Johnston St/Nicholson St (Fitzroy),144.974813,1,96,Tram Stop
6062,-37.795254,14-Rose St/Nicholson St (Fitzroy),144.975387,1,96,Tram Stop
6124,-37.793621,21-Alexandra Pde/Smith St (Clifton Hill),144.985278,1,86,Tram Stop
6125,-37.796694,20-Keele St/Smith St (Fitzroy),144.984751,1,86,Tram Stop
6126,-37.798842,19-Johnston St/Smith St (Fitzroy),144.984375,1,86,Tram Stop
6127,-37.801394,18-Hodgson St/Smith St (Fitzroy),144.983965,1,86,Tram Stop
6128,-37.803461,17-Charles St/Smith St (Fitzroy),144.983613,1,86,Tram Stop
6129,-37.804862,16-Peel St/Smith St (Collingwood),144.983348,1,86,Tram Stop
6130,-37.806236,15-Gertrude St/Smith St (Fitzroy),144.983095,1,86,Tram Stop
6131,-37.80609,14-Napier St/Gertrude St (Fitzroy),144.979805,1,86,Tram Stop
6132,-37.805823,13-Brunswick St/Gertrude St (Fitzroy),144.977381,1,86,Tram Stop
6133,-37.801587,12-Moor St/Nicholson St (Fitzroy),144.974237,1,96,Tram Stop
6135,-37.797616,13-Johnston St/Nicholson St (Carlton),144.974948,1,96,Tram Stop
6136,-37.795244,14-Rose St/Nicholson St (Carlton),144.975319,1,96,Tram Stop
4141,-37.805855,13-Gertrude St/Brunswick St (Fitzroy),144.977119,1,11,Tram Stop
4142,-37.802835,14-Hanover St/Brunswick St (Fitzroy),144.977611,1,11,Tram Stop
4143,-37.800445,15-Bell St/Brunswick St (Fitzroy),144.978039,1,11,Tram Stop
4144,-37.798531,16-Johnston St/Brunswick St (Fitzroy),144.978364,1,11,Tram Stop
4145,-37.795629,17-Leicester St/Brunswick St (Fitzroy),144.978852,1,11,Tram Stop
4146,-37.793625,18-Alexandra Pde/Brunswick St (Fitzroy),144.97919,1,11,Tram Stop
4450,-37.805597,13-Gertrude St/Brunswick St (Fitzroy),144.977319,1,11,Tram Stop
4451,-37.802703,14-King William St/Brunswick St (Fitzroy),144.977807,1,11,Tram Stop
4452,-37.800538,15-St David St/Brunswick St (Fitzroy),144.978184,1,11,Tram Stop
4453,-37.798166,16-Johnston St/Brunswick St (Fitzroy),144.97859,1,11,Tram Stop
