ogc_fid,Longitude,x_coordinate_address,x_coordinate_zip,property_id,street_name,x_coordinate_city,census_year,Latitude,parking_type,block_id,clue_small_area,parking_spaces,base_property_id,x_coordinate_state,FID,Area of Interest
92686,144.9415641,,,617251,55-57 Melrose Street,,2017,-37.79415526,Private,2392,North Melbourne,4,617251,,com_clue_offstreet_car_parking_2017.92686,Off Street Parking
92689,144.979665,,,100250,21-23 Agnes Street,,2017,-37.81782582,Residential,656,East Melbourne,4,100250,,com_clue_offstreet_car_parking_2017.92689,Off Street Parking
92690,144.9445548,,,104749,116 Hawke Street,,2017,-37.80895324,Residential,416,West Melbourne (Residential),2,104749,,com_clue_offstreet_car_parking_2017.92690,Off Street Parking
92691,144.945203,,,100140,86 Abbotsford Street,,2017,-37.80600872,Residential,406,West Melbourne (Residential),1,100140,,com_clue_offstreet_car_parking_2017.92691,Off Street Parking
92692,144.9523548,,,101335,9 Byron Street,,2017,-37.80203707,Residential,368,North Melbourne,1,101335,,com_clue_offstreet_car_parking_2017.92692,Off Street Parking
92694,144.960008,,,592857,42-50 Barry Street,,2017,-37.80296442,Residential,258,Carlton,19,592857,,com_clue_offstreet_car_parking_2017.92694,Off Street Parking
92695,144.9381533,,,627685,8 Foundry Way,,2017,-37.82286528,Residential,773,Docklands,2,627685,,com_clue_offstreet_car_parking_2017.92695,Off Street Parking
92696,144.9563815,,,110475,52-70 Haig Street,,2017,-37.8273032,Private,729,Southbank,22,110475,,com_clue_offstreet_car_parking_2017.92696,Off Street Parking
92698,144.9409125,,,567842,173-189 Laurens Street,,2017,-37.80119874,Private,1012,North Melbourne,20,567842,,com_clue_offstreet_car_parking_2017.92698,Off Street Parking
92701,144.9569458,,,110474,46-50 Haig Street,,2017,-37.8268301,Residential,729,Southbank,181,110474,,com_clue_offstreet_car_parking_2017.92701,Off Street Parking
92704,144.9720437,,,101729,56-60 Carlton Street,,2017,-37.8007729,Residential,221,Carlton,2,101729,,com_clue_offstreet_car_parking_2017.92704,Off Street Parking
92705,144.9533405,,,105015,83 Howard Street,,2017,-37.80505015,Residential,356,North Melbourne,1,105015,,com_clue_offstreet_car_parking_2017.92705,Off Street Parking
92706,144.9892023,,,105002,42-48 Hotham Street,,2017,-37.81417839,Residential,604,East Melbourne,3,105002,,com_clue_offstreet_car_parking_2017.92706,Off Street Parking
