,Lastupdated,Status_Timestamp,Zone_Number,Status_Description,Parkingbay_ID,Latitude,Longitude,Area of Interest
1143,2023-10-10T21:20:20+11:00,2023-10-09T22:41:15+11:00,7595,Unoccupied,6139,-37.81610927,144.96120829602685,On Street Parking
1144,2023-10-10T21:20:20+11:00,2023-10-10T18:32:09+11:00,7903,Present,14140,-37.82602234,144.96911087777045,On Street Parking
1145,2023-10-10T21:20:20+11:00,2023-10-10T18:12:39+11:00,7903,Present,14117,-37.82742936,144.96868561332644,On Street Parking
1146,2023-10-10T21:20:20+11:00,2023-10-08T15:42:40+11:00,7903,Present,14108,-37.82791361,144.96854009165455,On Street Parking
1147,2023-10-10T21:20:20+11:00,2023-10-10T13:05:39+11:00,7903,Unoccupied,14114,-37.82759088,144.96863711548517,On Street Parking
1148,2023-10-10T21:20:20+11:00,2023-10-10T20:26:58+11:00,7903,Unoccupied,14111,-37.82775217,144.9685886465415,On Street Parking
1149,2023-10-10T21:20:20+11:00,2023-10-10T18:50:01+11:00,7903,Unoccupied,14134,-37.82651395,144.96896153932832,On Street Parking
1150,2023-10-10T21:20:20+11:00,2023-10-10T16:25:57+11:00,7903,Present,14129,-37.82678368,144.96888011021792,On Street Parking
1151,2023-10-10T21:20:20+11:00,2023-10-10T20:27:05+11:00,7903,Present,14112,-37.82769834,144.96860482101062,On Street Parking
1152,2023-10-10T21:20:20+11:00,2023-10-10T19:13:33+11:00,7903,Present,14132,-37.82662226,144.96892885647617,On Street Parking
1153,2023-10-10T21:20:20+11:00,2023-10-10T17:48:01+11:00,7903,Present,14110,-37.82780605,144.9685725,On Street Parking
1154,2023-10-10T21:20:20+11:00,2023-10-10T17:58:15+11:00,7903,Present,14127,-37.82689151,144.96884757279847,On Street Parking
1155,2023-10-10T21:20:20+11:00,2023-10-10T20:02:56+11:00,7893,Unoccupied,22346,-37.82644252,144.96655311477824,On Street Parking
1156,2023-10-10T21:20:20+11:00,2023-10-10T21:16:11+11:00,7893,Unoccupied,22348,-37.82654769,144.96652161345517,On Street Parking
1157,2023-10-10T21:20:20+11:00,2023-10-10T17:13:48+11:00,7890,Present,22330,-37.82535945,144.96669772139356,On Street Parking
1158,2023-10-10T21:20:20+11:00,2023-10-10T20:55:49+11:00,7890,Unoccupied,22331,-37.82531041,144.96671269894904,On Street Parking
1159,2023-10-10T21:20:20+11:00,2023-10-10T20:28:31+11:00,7889,Unoccupied,22318,-37.82528048,144.96691129984572,On Street Parking
1160,2023-10-10T21:20:20+11:00,2023-10-10T16:24:48+11:00,7889,Present,22319,-37.82533323,144.9668963825087,On Street Parking
1161,2023-10-10T21:20:20+11:00,2023-10-10T17:45:53+11:00,7757,Present,12295,-37.79910307,144.95376423968452,On Street Parking
1162,2023-10-10T21:20:20+11:00,2023-10-10T20:51:32+11:00,,Present,7567,-37.80834655,144.95980109184347,On Street Parking
1163,2023-10-10T21:20:20+11:00,2023-10-10T12:43:02+11:00,,Present,7562,-37.8083898,144.95965191971788,On Street Parking
1164,2023-10-10T21:20:20+11:00,2023-10-10T20:34:35+11:00,,Unoccupied,6880,-37.81461885,144.95504281120628,On Street Parking
1165,2023-10-10T21:20:20+11:00,2023-10-10T21:04:07+11:00,7827,Present,12946,-37.82917654,144.9696432,On Street Parking
1166,2023-10-10T21:20:20+11:00,2023-10-10T20:55:31+11:00,7827,Unoccupied,12932,-37.82902284,144.97017094750487,On Street Parking
1167,2023-10-10T21:20:20+11:00,2023-10-10T18:34:35+11:00,7827,Present,12931,-37.82903329,144.97013474089482,On Street Parking
1168,2023-10-10T21:20:20+11:00,2023-10-10T18:54:36+11:00,7827,Present,12951,-37.82910047,144.96990472550902,On Street Parking
1169,2023-10-10T21:20:20+11:00,2023-10-10T21:17:24+11:00,7827,Unoccupied,22094,-37.82913254,144.96979541043743,On Street Parking
1170,2023-10-10T21:20:20+11:00,2023-10-10T18:49:23+11:00,7708,Present,21964,-37.80125503,144.95529885196453,On Street Parking
1171,2023-10-10T21:20:20+11:00,2023-10-10T19:46:42+11:00,7610,Present,5472,-37.8122279,144.9595585059019,On Street Parking
